Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
White,20,20,1,3,Y,N,11,12,1,2,1,0,4,1,0,4,5,37,14,6,18,0
White,5,5,2,2,Y,N,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,16,2,2,N,Y,9,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,11,12,0,5,N,N,6,7,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Black,21,18,4,7,N,Y,12,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,12,11,4,3,Y,N,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,8,8,3,4,Y,N,8,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,11,11,4,1,Y,N,7,7,2,1,0,0,4,0,0,0,0,2,0,0,2,0
White,11,10,3,6,Y,N,8,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
White,21,20,4,2,Y,N,12,11,3,1,4,0,4,4,3,0,7,6,7,0,7,0
Black,22,23,3,3,N,Y,13,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,17,5,4,N,Y,10,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,12,3,7,N,Y,9,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,10,10,6,3,Y,N,7,7,3,3,0,0,0,2,0,0,0,0,2,0,2,0
Black,14,17,3,3,N,N,6,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,24,23,5,3,Y,N,14,13,3,2,2,0,2,2,4,0,2,22,12,12,10,21
Black,15,14,8,1,N,Y,9,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,16,2,4,N,Y,10,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,13,12,4,0,Y,N,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,19,5,5,N,Y,9,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,13,11,5,4,Y,N,9,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,8,5,1,N,Y,7,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,20,20,4,8,Y,N,12,12,3,4,0,0,7,0,18,7,8,18,8,0,18,21
Black,16,17,1,3,N,Y,10,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,12,13,1,6,Y,N,7,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0
